,Coach,Draft Value,Exp. Draft Value,DVOE,
133,Mark Hudspeth,18.5,59.7,-41.2,
134,Ruffin McNeill,0.0,41.4,-41.4,
135,Tyson Helton,0.0,41.8,-41.8,
136,Terry Bowden,12.2,54.3,-42.1,
137,Brian Polian,0.0,42.2,-42.2,
138,Norm Chow,0.0,42.2,-42.2,
139,Mike Bloomgren,0.0,42.3,-42.3,
140,Barry Odom,255.6,298.0,-42.4,
141,Tony Levine,0.0,43.4,-43.4,
142,Steve Campbell,0.0,43.8,-43.8,
143,Sean Kugler,0.0,44.6,-44.6,
144,Paul Haynes,0.0,45.0,-45.0,
145,Chad Lunsford,15.0,60.2,-45.2,
146,John Bonamego,8.3,53.7,-45.4,
147,Mike Jinks,0.0,45.7,-45.7,
148,Jeff Tedford,12.5,59.9,-47.4,
149,Doug Martin,12.9,61.7,-48.8,
150,Lance Leipold,16.1,65.7,-49.6,
151,Luke Fickell,77.1,126.9,-49.8,
152,Jeff Brohm,115.1,165.7,-50.6,
153,Bill Clark,0.0,50.7,-50.7,
154,Tony Sanchez,0.0,52.5,-52.5,
155,Jeff Scott,0.0,53.4,-53.4,
156,Ryan Silverfield,7.9,61.3,-53.4,
157,Nick Rolovich,75.5,129.5,-54.0,
158,Art Briles,49.7,104.8,-55.1,
159,Matt Luke,343.6,399.4,-55.8,
160,Neal Brown,129.5,189.2,-59.7,
161,David Beaty,62.2,123.6,-61.4,
162,Todd Monken,0.0,61.5,-61.5,
163,Bill Cubit,0.0,61.7,-61.7,
164,Scottie Montgomery,0.0,61.8,-61.8,
165,Ron Turner,0.0,62.3,-62.3,
166,Mike Neu,18.6,81.6,-63.0,
167,P.J. Fleck,199.6,263.5,-63.9,
168,Scott Shafer,0.0,64.3,-64.3,
169,Frank Solich,26.8,91.3,-64.5,
170,David Bailiff,0.0,65.2,-65.2,
171,Bo Pelini,8.4,76.0,-67.6,
172,Darrell Hazell,44.2,115.5,-71.3,
173,Joe Moorhead,145.6,217.4,-71.8,
174,Mark Stoops,471.3,544.0,-72.7,
175,Bob Davie,0.0,77.4,-77.4,
176,Tommy Tuberville,50.7,133.2,-82.5,
177,Shawn Elliott,87.3,172.0,-84.7,
178,Chris Ash,94.8,180.7,-85.9,
179,Greg Schiano,0.0,87.4,-87.4,
180,Chad Morris,186.5,275.4,-88.9,
181,Derek Mason,323.5,415.8,-92.3,
182,Blake Anderson,0.0,95.5,-95.5,
183,Kyle Flood,39.0,135.4,-96.4,
184,Mario Cristobal,338.5,437.2,-98.7,
185,Chuck Martin,15.6,116.4,-100.8,
186,Jeff Monken,0.0,101.9,-101.9,
187,Mike Locksley,187.8,291.1,-103.3,
188,Troy Calhoun,0.0,103.9,-103.9,
189,Jonathan Smith,27.4,131.6,-104.2,
190,Ken Niumatalolo,0.0,105.3,-105.3,
191,Paul Johnson,129.0,243.2,-114.2,
192,Pat Narduzzi,352.5,472.0,-119.5,
193,Bret Bielema,231.7,351.8,-120.1,
194,Mike London,45.1,167.0,-121.9,
195,Pat Fitzgerald,237.9,360.1,-122.2,
196,Todd Graham,63.4,194.6,-131.2,
197,Geoff Collins,59.8,193.6,-133.8,
198,Manny Diaz,276.5,410.5,-134.0,
199,Butch Jones,441.4,577.4,-136.0,
200,Tom Allen,77.7,214.0,-136.3,
201,Brady Hoke,25.0,161.7,-136.7,
202,Matt Campbell,86.2,223.1,-136.9,
203,Sam Pittman,44.5,182.3,-137.8,
204,Randy Edsall,89.3,227.5,-138.2,
205,Lovie Smith,60.5,200.2,-139.7,
206,Mack Brown,107.3,247.3,-140.0,
207,Rich Rodriguez,56.7,197.8,-141.1,
208,Chip Kelly,476.7,636.7,-160.0,
209,Herm Edwards,164.1,330.6,-166.5,
210,Dino Babers,68.9,235.6,-166.7,
211,Mel Tucker,31.3,210.5,-179.2,
212,Doc Holliday,24.9,210.7,-185.8,
213,Justin Wilcox,91.4,277.9,-186.5,
214,Matt Rhule,92.0,316.8,-224.8,
215,Steve Sarkisian,74.2,300.5,-226.3,
216,Bob Stoops,336.0,578.0,-242.0,
217,Lane Kiffin,90.1,388.0,-297.9,
218,Scott Frost,79.6,378.1,-298.5,
219,Mike Norvell,364.6,686.9,-322.3,
220,Mark Richt,584.2,921.3,-337.1,
221,Bronco Mendenhall,122.0,508.9,-386.9,
222,Willie Taggart,415.9,828.0,-412.1,
223,Clay Helton,1510.6,1943.2,-432.6,
224,Will Muschamp,705.9,1158.2,-452.3,
225,Gus Malzahn,1087.9,1602.6,-514.7,
226,Tom Herman,318.9,877.0,-558.1,
227,Jeremy Pruitt,153.4,712.9,-559.5,
228,Charlie Strong,280.2,1147.2,-867.0,
