ranking,EDV,EDM
237,6.5,907100.3107
238,6.5,903783.5328
239,6.5,900492.7133
240,6.5,897227.5418
241,6.4,893987.7126
242,6.4,890772.9253
243,6.4,887582.8838
244,6.4,884417.2972
245,6.4,881275.8788
246,6.4,878158.3467
247,6.4,875064.4231
248,6.4,871993.8349
249,6.3,868946.3129
250,6.3,865921.5923
251,6.3,862919.4123
252,6.3,859939.5162
253,6.3,856981.6511
254,6.3,854045.568
255,6.3,851131.0216
256,6.3,848237.7705
257,6.2,845365.5768
258,6.2,842514.2062
259,6.2,839683.4279
260,6.2,836873.0145
261,6.2,834082.7421
262,6.2,831312.3899
263,6.2,828561.7405
264,6.2,825830.5797
265,6.1,823118.6964
266,6.1,820425.8825
267,6.1,817751.9329
268,6.1,815096.6457
269,6.1,812459.8216
270,6.1,809841.2644
271,6.1,807240.7806
272,6.1,804658.1793
273,6,802093.2726
274,6,799545.8751
275,6,797015.804
276,6,794502.8791
277,6,792006.9227
278,6,789527.7596
279,6,787065.2169
280,6,784619.1244
281,6,782189.3139
282,5.9,779775.6197
283,5.9,777377.8783
284,5.9,774995.9285
285,5.9,772629.6111
286,5.9,770278.7694
287,5.9,767943.2485
288,5.9,765622.8957
289,5.9,763317.5603
290,5.9,761027.0937
291,5.8,758751.3491
292,5.8,756490.182
293,5.8,754243.4494
294,5.8,752011.0104
295,5.8,749792.7259
296,5.8,747588.4587
297,5.8,745398.0732
298,5.8,743221.4358
299,5.8,741058.4144
300,5.7,738908.8788
301,5.7,736772.7003
302,5.7,734649.7521
303,5.7,732539.9086
304,5.7,730443.0462
305,5.7,728359.0428
306,5.7,726287.7777
307,5.7,724229.1317
308,5.7,722182.9873
309,5.7,720149.2283
310,5.6,718127.74
311,5.6,716118.4093
312,5.6,714121.1241
313,5.6,712135.7741
314,5.6,710162.2501
315,5.6,708200.4444
316,5.6,706250.2505
317,5.6,704311.5632
318,5.6,702384.2788
319,5.6,700468.2945
320,5.5,698563.509
321,5.5,696669.8222
322,5.5,694787.1352
323,5.5,692915.35
324,5.5,691054.3703
325,5.5,689204.1005
326,5.5,687364.4463
327,5.5,685535.3146
328,5.5,683716.6132
329,5.5,681908.2512
330,5.4,680110.1386
331,5.4,678322.1865
332,5.4,676544.307
333,5.4,674776.4134
334,5.4,673018.4199
335,5.4,671270.2415
336,5.4,669531.7944
337,5.4,667802.9958
338,5.4,666083.7636
339,5.4,664374.017
340,5.3,662673.6758
341,5.3,660982.6608
342,5.3,659300.8937
343,5.3,657628.2972
344,5.3,655964.7948
345,5.3,654310.3107
346,5.3,652664.7702
347,5.3,651028.0992
348,5.3,649400.2246
349,5.3,647781.0741
350,5.3,646170.576
351,5.2,644568.6598
352,5.2,642975.2552
353,5.2,641390.2932
354,5.2,639813.7053
355,5.2,638245.4237
356,5.2,636685.3816
357,5.2,635133.5126
358,5.2,633589.7511
359,5.2,632054.0325
360,5.2,630526.2925
361,5.2,629006.4677
362,5.1,627494.4954
363,5.1,625990.3134
