,School,Draft Value,Exp. Draft Value,DVOE,
143,Cal Poly,0.0,5.0,-5.0,
144,Jackson State,0.0,5.1,-5.1,
145,Holy Cross,0.0,5.5,-5.5,
146,Savannah State,0.0,5.5,-5.5,
147,Northwestern State,0.0,5.6,-5.6,
148,Southern,0.0,5.7,-5.7,
149,Charleston Southern,0.0,5.8,-5.8,
150,Montana State,0.0,6.2,-6.2,
151,UT Martin,0.0,6.3,-6.3,
152,Western Illinois,0.0,6.4,-6.4,
153,Kennesaw State,0.0,6.7,-6.7,
154,Dartmouth,0.0,6.9,-6.9,
155,South Dakota,0.0,7.2,-7.2,
156,The Citadel,0.0,7.2,-7.2,
157,Lamar,0.0,7.3,-7.3,
158,Grand Valley State,0.0,7.4,-7.4,
159,Weber State,0.0,7.5,-7.5,
160,Florida A&M,0.0,7.5,-7.5,
161,Lehigh,0.0,7.7,-7.7,
162,Central Arkansas,0.0,7.7,-7.7,
163,Western Carolina,0.0,7.8,-7.8,
164,Wofford,0.0,7.8,-7.8,
165,Indiana State,0.0,8.5,-8.5,
166,Monmouth,0.0,8.6,-8.6,
167,Rhode Island,0.0,8.6,-8.6,
168,Southeast Missouri State,0.0,8.6,-8.6,
169,Murray State,0.0,8.7,-8.7,
170,Tennessee Tech,0.0,8.9,-8.9,
171,Furman,0.0,8.9,-8.9,
172,Eastern Kentucky,0.0,9.1,-9.1,
173,William & Mary,0.0,9.2,-9.2,
174,Richmond,0.0,9.3,-9.3,
175,Alcorn State,0.0,9.3,-9.3,
176,McNeese,0.0,9.6,-9.6,
177,Stony Brook,0.0,9.6,-9.6,
178,Albany,0.0,9.7,-9.7,
179,Towson,0.0,9.8,-9.8,
180,Bethune-Cookman,0.0,10.0,-10.0,
181,Columbia,0.0,10.0,-10.0,
182,Northern Colorado,0.0,10.1,-10.1,
183,Mercer,0.0,10.1,-10.1,
184,Nevada,87.0,97.4,-10.4,
185,Coastal Carolina,9.9,20.9,-11.0,
186,UC Davis,0.0,11.2,-11.2,
187,Liberty,0.0,11.3,-11.3,
188,Appalachian State,48.3,59.8,-11.5,
189,Montana,0.0,12.0,-12.0,
190,Stephen F. Austin,0.0,12.2,-12.2,
191,Abilene Christian,0.0,12.3,-12.3,
192,Southern Illinois,0.0,12.9,-12.9,
193,Tennessee State,0.0,13.2,-13.2,
194,Portland State,0.0,13.3,-13.3,
195,Pennsylvania,0.0,13.6,-13.6,
196,Princeton,0.0,13.9,-13.9,
197,Illinois State,0.0,13.9,-13.9,
198,Florida Atlantic,94.0,108.4,-14.4,
199,Samford,0.0,14.5,-14.5,
200,Austin Peay,0.0,14.6,-14.6,
201,Villanova,0.0,14.8,-14.8,
202,Sam Houston State,0.0,15.2,-15.2,
203,Wake Forest,257.1,274.9,-17.8,
204,Northern Arizona,0.0,17.9,-17.9,
205,Chattanooga,0.0,18.1,-18.1,
206,James Madison,0.0,18.4,-18.4,
207,Eastern Washington,0.0,19.9,-19.9,
208,Jacksonville State,0.0,21.6,-21.6,
209,San José State,99.0,123.1,-24.1,
210,Pittsburgh,507.6,533.4,-25.8,
211,Minnesota,287.7,316.1,-28.4,
212,South Carolina State,0.0,28.7,-28.7,
213,Old Dominion,27.9,58.3,-30.4,
214,Harvard,0.0,31.9,-31.9,
215,Georgia State,8.4,41.1,-32.7,
216,Eastern Michigan,41.4,74.9,-33.5,
217,Fresno State,111.8,145.9,-34.1,
218,Middle Tennessee,50.7,86.1,-35.4,
219,Hawai'i,75.2,114.7,-39.5,
220,Tulane,97.4,142.3,-44.9,
221,Akron,20.7,65.9,-45.2,
222,Yale,0.0,45.3,-45.3,
223,Georgia Southern,15.0,63.5,-48.5,
224,New Mexico State,12.9,61.7,-48.8,
225,Colorado State,104.1,153.1,-49.0,
226,Idaho,0.0,52.6,-52.6,
227,Louisiana Monroe,21.5,74.9,-53.4,
228,North Texas,22.2,76.9,-54.7,
229,UCLA,1224.8,1282.6,-57.8,
230,Indiana,252.8,311.6,-58.8,
231,Ohio,26.8,91.3,-64.5,
232,UTEP,11.0,75.6,-64.6,
233,West Virginia,370.8,435.6,-64.8,
234,Texas State,0.0,64.9,-64.9,
235,Buffalo,16.1,82.2,-66.1,
236,Texas Tech,424.9,491.1,-66.2,
237,UAB,8.2,75.2,-67.0,
